5.02.0.00.0.00.04.0000;;Badan Pendapatan, Keuangan dan Aset Daerah;BPKAD;Unit
5.03.5.04.0.00.01.0000;;Badan Kepegawaian dan Pengembangan Sumber Daya Manusia;BKPSDM;Unit
6.01.0.00.0.00.01.0000;;Inspektorat Daerah;Inspektorat Daerah;Unit
7.01.0.00.0.00.01.0000;7.01.0.00.0.00.01.0000;Kecamatan Pekalongan Utara;Kec. Utara;Unit
7.01.0.00.0.00.01.0001;7.01.0.00.0.00.01.0000;Kelurahan Kandang Panjang;Kel. Kandang Panjang;Sub Unit
7.01.0.00.0.00.01.0002;7.01.0.00.0.00.01.0000;Kelurahan Panjang Wetan;Kel. Panjang Wetan;Sub Unit
7.01.0.00.0.00.01.0003;7.01.0.00.0.00.01.0000;Kelurahan Degayu;Kel. Degayu;Sub Unit
7.01.0.00.0.00.01.0004;7.01.0.00.0.00.01.0000;Kelurahan Bandengan;Kel. Bandengan;Sub Unit
7.01.0.00.0.00.01.0005;7.01.0.00.0.00.01.0000;Kelurahan Krapyak;Kel. Krapyak;Sub Unit
7.01.0.00.0.00.01.0006;7.01.0.00.0.00.01.0000;Kelurahan Padukuhan Kraton;Kel. Padukuhan Kraton;Sub Unit
7.01.0.00.0.00.01.0007;7.01.0.00.0.00.01.0000;Kelurahan Panjang Baru;Kel. Panjang Baru;Sub Unit
7.01.0.00.0.00.02.0000;7.01.0.00.0.00.02.0000;Kecamatan Pekalongan Selatan;Kec. Selatan;Unit
7.01.0.00.0.00.02.0001;7.01.0.00.0.00.02.0000;Kelurahan Jenggot;Kel. Jenggot;Sub Unit
7.01.0.00.0.00.02.0002;7.01.0.00.0.00.02.0000;Kelurahan Buaran Kradenan;Kel. Buakra;Sub Unit
7.01.0.00.0.00.02.0003;7.01.0.00.0.00.02.0000;Kelurahan Kuripan Kertoharjo;Kel. Kurker;Sub Unit
7.01.0.00.0.00.02.0004;7.01.0.00.0.00.02.0000;Kelurahan Kuripan Yosorejo;Kel. Kuryos;Sub Unit
7.01.0.00.0.00.02.0005;7.01.0.00.0.00.02.0000;Kelurahan Soko Duwet;Kel. Soko duwet;Sub Unit
7.01.0.00.0.00.02.0006;7.01.0.00.0.00.02.0000;Kelurahan Banyurip;Kel. Banyurip;Sub Unit
7.01.0.00.0.00.03.0000;7.01.0.00.0.00.03.0000;Kecamatan Pekalongan Barat;Kec. Barat;Unit
7.01.0.00.0.00.03.0001;7.01.0.00.0.00.03.0000;Kelurahan Medono;Kel. Medono;Sub Unit
7.01.0.00.0.00.03.0002;7.01.0.00.0.00.03.0000;Kelurahan Podosugih;Kel. Podosugih;Sub Unit
7.01.0.00.0.00.03.0003;7.01.0.00.0.00.03.0000;Kelurahan Tirto;Kel. Tirto;Sub Unit
7.01.0.00.0.00.03.0004;7.01.0.00.0.00.03.0000;Kelurahan Sapuro Kebulen;Kel. Sapkeb;Sub Unit
7.01.0.00.0.00.03.0005;7.01.0.00.0.00.03.0000;Kelurahan Bendan Kergon;Kel. Danker;Sub Unit
7.01.0.00.0.00.03.0006;7.01.0.00.0.00.03.0000;Kelurahan Pasirkratonkramat;Kel. PKK;Sub Unit
7.01.0.00.0.00.03.0007;7.01.0.00.0.00.03.0000;Kelurahan Pringrejo;Kel. Pringrejo;Sub Unit
7.01.0.00.0.00.04.0000;7.01.0.00.0.00.04.0000;Kecamatan Pekalongan Timur;Kec. Timur;Unit
7.01.0.00.0.00.04.0001;7.01.0.00.0.00.04.0000;Kelurahan Kauman;Kel. Kauman;Sub Unit
7.01.0.00.0.00.04.0002;7.01.0.00.0.00.04.0000;Kelurahan Poncol;Kel. Poncol;Sub Unit
7.01.0.00.0.00.04.0003;7.01.0.00.0.00.04.0000;Kelurahan Klego;Kel. Klego;Sub Unit
7.01.0.00.0.00.04.0004;7.01.0.00.0.00.04.0000;Kelurahan Gamer;Kel. Gamer;Sub Unit
7.01.0.00.0.00.04.0005;7.01.0.00.0.00.04.0000;Kelurahan Noyontaansari;Kel. Noyosari;Sub Unit
7.01.0.00.0.00.04.0006;7.01.0.00.0.00.04.0000;Kelurahan Setono;Kel. Setono;Sub Unit
7.01.0.00.0.00.04.0007;7.01.0.00.0.00.04.0000;Kelurahan Kali Baros;Kel. Kali Baros;Sub Unit
8.01.0.00.0.00.01.0000;;Badan Kesatuan Bangsa dan Politik;Bakesbangpol;Unit
